acceptable,very good
unacceptable,very good
unacceptable,very good
unacceptable,very good
acceptable,unacceptable
unacceptable,unacceptable
unacceptable,very good
acceptable,very good
unacceptable,unacceptable
acceptable,very good
unacceptable,very good
unacceptable,very good
unacceptable,very good
unacceptable,very good
unacceptable,very good
unacceptable,very good
acceptable,very good
unacceptable,very good
unacceptable,unacceptable
unacceptable,unacceptable
unacceptable,very good
unacceptable,very good
unacceptable,very good
unacceptable,very good
unacceptable,unacceptable
unacceptable,very good
unacceptable,fail: <table>
  <thead>
    <tr>
      <th>Buying Price</th>
      <th>Maintenance Cost</th>
      <th>Doors</th>
      <th>Persons</th>
      <th>Trunk Size</th>
      <th>Safety Score</th>
    </tr>
  </thead>
  <tbody>
    <tr>
      <td>medium</td>
      <td>very high</td>
      <td>four</td>
      <td>more than four</td>
      <td>big</td>
      <td>low</td>
    </tr>
  </tbody>
</table>
## recommendation

very bad.

the car has a high maintenance cost, low safety score, and a big trunk size.
unacceptable,very good
acceptable,very good
very good,very good
unacceptable,unacceptable
unacceptable,unacceptable
unacceptable,very good
unacceptable,very good
unacceptable,unacceptable
unacceptable,unacceptable
unacceptable,very good
acceptable,very good
unacceptable,very good
unacceptable,very good
acceptable,very good
unacceptable,very good
unacceptable,very good
unacceptable,very good
unacceptable,acceptable
unacceptable,unacceptable
unacceptable,unacceptable
very good,very good
unacceptable,unacceptable
unacceptable,unacceptable
unacceptable,unacceptable
unacceptable,unacceptable
unacceptable,unacceptable
unacceptable,acceptable
unacceptable,very good
unacceptable,unacceptable
unacceptable,unacceptable
unacceptable,very good
unacceptable,unacceptable
unacceptable,unacceptable
very good,very good
unacceptable,very good
good,very good
unacceptable,unacceptable
unacceptable,very good
unacceptable,unacceptable
unacceptable,very good
acceptable,very good
unacceptable,very good
unacceptable,unacceptable
unacceptable,unacceptable
unacceptable,fail: <table>
  <thead>
    <tr>
      <th>Buying Price</th>
      <th>Maintenance Cost</th>
      <th>Doors</th>
      <th>Persons</th>
      <th>Trunk Size</th>
      <th>Safety Score</th>
    </tr>
  </thead>
  <tbody>
    <tr>
      <td>low</td>
      <td>very high</td>
      <td>two</td>
      <td>more than four</td>
      <td>small</td>
      <td>medium</td>
    </tr>
  </tbody>
</table>
## recommendation

very bad.

